gene,WT_growth,KO_growth,Percent_change
SGL_RS12165,0.0,0.0,0
SGL_RS10355,0.0,0.0,0
SGL_RS13090,0.0,0.0,0
SGL_RS12030,0.0,0.0,0
SGL_RS11810,0.0,0.0,0
SGL_RS08525,0.0,0.0,0
SGL_RS06010,0.0,0.0,0
SGL_RS16360,0.0,0.0,0
SGL_RS02965,0.0,0.0,0
SGL_RS06015,0.0,0.0,0
SGL_RS10830,0.0,0.0,0
SGL_RS14500,0.0,0.0,0
SGL_RS14480,0.0,0.0,0
SGL_RS06595,0.0,0.0,0
SGL_RS07635,0.0,0.0,0
SGL_RS05575,0.0,0.0,0
SGL_RS03425,0.0,0.0,0
SGL_RS05570,0.0,0.0,0
SGL_RS06585,0.0,0.0,0
SGL_RS15515,0.0,0.0,0
SGL_RS02505,0.0,0.0,0
SGL_RS06580,0.0,0.0,0
SGL_RS06435,0.0,0.0,0
SGL_RS05565,0.0,0.0,0
SGL_RS02595,0.0,0.0,0
SGL_RS06590,0.0,0.0,0
SGL_RS07105,0.0,0.0,0
SGL_RS15695,0.0,0.0,0
SGL_RS03810,0.0,0.0,0
SGL_RS16895,0.0,0.0,0
SGL_RS15745,0.0,0.0,0
SGL_RS17150,0.0,0.0,0
SGL_RS11320,0.0,0.0,0
SGL_RS17155,0.0,0.0,0
SGL_RS16080,0.0,0.0,0
SGL_RS17140,0.0,0.0,0
SGL_RS17160,0.0,0.0,0
SGL_RS15380,0.0,0.0,0
SGL_RS10490,0.0,0.0,0
SGL_RS08390,0.0,0.0,0
SGL_RS15060,0.0,0.0,0
SGL_RS04180,0.0,0.0,0
SGL_RS14185,0.0,0.0,0
SGL_RS10270,0.0,0.0,0
SGL_RS14195,0.0,0.0,0
SGL_RS14180,0.0,0.0,0
SGL_RS06070,0.0,0.0,0
SGL_RS08905,0.0,0.0,0
SGL_RS15620,0.0,0.0,0
SGL_RS12265,0.0,0.0,0
SGL_RS13535,0.0,0.0,0
SGL_RS04185,0.0,0.0,0
SGL_RS14280,0.0,0.0,0
SGL_RS15335,0.0,0.0,0
SGL_RS11990,0.0,0.0,0
SGL_RS02850,0.0,0.0,0
SGL_RS14540,0.0,0.0,0
SGL_RS14375,0.0,0.0,0
SGL_RS14135,0.0,0.0,0
SGL_RS11275,0.0,0.0,0
SGL_RS16775,0.0,0.0,0
SGL_RS16720,0.0,0.0,0
SGL_RS16655,0.0,0.0,0
SGL_RS03900,0.0,0.0,0
SGL_RS08340,0.0,0.0,0
SGL_RS08610,0.0,0.0,0
SGL_RS15160,0.0,0.0,0
SGL_RS05525,0.0,0.0,0
SGL_RS02230,0.0,0.0,0
SGL_RS05615,0.0,0.0,0
